year,raw,predicted,fit_resid,Hybrib_pred
1956-01-01,0.196,0.1989111585876252,-0.00054172333,0.19836943525432604
1957-01-01,0.216,0.20205765846583404,-0.0005404404,0.20151721808758907
1958-01-01,0.221,0.2261453059914785,-0.00010789371,0.22603741227848526
1959-01-01,0.23,0.22963679343257934,-8.745284e-06,0.22962804814898516
1960-01-01,0.247,0.23874327916332813,-0.00023169602,0.23851158314705653
1961-01-01,0.262,0.258164003430859,7.1886105e-05,0.2582358895355652
1962-01-01,0.283,0.2742886496637608,-0.00047801386,0.2738106358085885
1963-01-01,0.298,0.29784266324603387,-5.3796834e-05,0.2977888664125073
1964-01-01,0.286,0.3128887915948099,0.00018055954,0.31306935113323114
1965-01-01,0.308,0.29300547427965495,-0.00018334383,0.2928221304505335
1966-01-01,0.313,0.31940160356746383,-0.00041100758,0.318990595985021
1967-01-01,0.307,0.3225247668167232,-0.000998505,0.32152626177478866
1968-01-01,0.328,0.31197318023357445,-0.0013450487,0.31062813157502467
1969-01-01,0.327,0.33767195984685844,-0.00013712735,0.33753483249304866
1970-01-01,0.328,0.33354313029158683,-0.0009584368,0.3325846934825723
1971-01-01,0.338,0.33291798269602657,-0.00083939324,0.3320785894593522
1972-01-01,0.35,0.34440794013301546,-0.00012036912,0.3442875710121652
1973-01-01,0.352,0.35804743301321207,-0.0009294202,0.3571180128395782
1974-01-01,0.355,0.35827443279424737,-0.000465074,0.3578093587931344
1975-01-01,0.376,0.36031442711109185,-0.00017472106,0.3601397060484428
1976-01-01,0.384,0.38591315918565344,-0.0003251302,0.3855880289742312
1977-01-01,0.397,0.3933522548072722,-0.0005349469,0.39281730789344127
1978-01-01,0.395,0.40742170907180136,-0.000120136894,0.4073015721776903
1979-01-01,0.405,0.401779884043545,0.00016294094,0.4019428249815707
1980-01-01,0.418,0.41272396499217445,-0.0005960829,0.4121278821064248
1981-01-01,0.441,0.42727080498258085,-0.0005522001,0.42671860491060154
1982-01-01,0.445,0.45429596172576636,-0.000690682,0.45360527974950016
1983-01-01,0.47,0.45557055044146394,3.1364834e-05,0.4556019152757493
1984-01-01,0.472,0.4848010094099108,0.00013284312,0.48493385253435817
1985-01-01,0.507,0.483047980242468,4.3052198e-05,0.483091032440193
1986-01-01,0.532,0.5250702880848157,-0.0004660524,0.5246042356711305
1987-01-01,0.556,0.552101956846775,0.00025977474,0.5523617315838351
1988-01-01,0.588,0.57724479403887,-0.00013196892,0.5771128251207299
1989-01-01,0.633,0.6123980298800002,0.0009317715,0.6133298013520967
1990-01-01,0.662,0.6634381625204215,0.00029256786,0.6637307303767985
1991-01-01,0.691,0.6920165187489167,0.00038878495,0.6924053036941606
1992-01-01,0.722,0.720718493461084,0.00060237054,0.7213208639965731
1993-01-01,0.731,0.7520942084742372,0.0003972973,0.7524915057660209
1994-01-01,0.758,0.7549097602691889,-0.00063857995,0.7542711803194523
1995-01-01,0.791,0.7828157638094367,-0.00077368895,0.7820420748565325
1996-01-01,0.841,0.8182152368629166,-0.00088947377,0.8173257630935685
1997-01-01,0.859,0.8748953257440749,-0.00095609936,0.8739392263800997
1998-01-01,0.861,0.8882350978485052,0.00022245893,0.8884575567746511
1999-01-01,0.917,0.8822502496751682,0.00014458378,0.8823948334594448
2000-01-01,0.926,0.9484382608197796,-0.00015482972,0.9482834311047502
2001-01-01,0.923,0.95085976027918,-0.0014607536,0.949399006665097
2002-01-01,0.936,0.9396917721481208,-0.0011254176,0.9385663544983749
2003-01-01,0.953,0.9516094099602826,-8.1587634e-05,0.9515278223265243
2004-01-01,0.996,0.9690171063232719,-0.002254927,0.9667621792580484
2005-01-01,1.033,1.0199280127016679,-0.0015293665,1.0183986462252066
2006-01-01,1.081,1.0607604877851633,-8.471183e-06,1.0607520166023539
2007-01-01,1.148,1.1146943541893466,0.00077309745,1.1154674516360006
2008-01-01,1.218,1.191458979475156,0.0016674586,1.193126438039199
2009-01-01,1.324,1.26924033647395,0.0014586393,1.2706989757529579
2010-01-01,1.359,1.3204806729479,0.0022215233,1.3227021962663397
2011-01-01,1.424,1.37172100942185,0.0029674133,1.3746884227038718
2012-01-01,1.551,1.4229613458958,0.0033267443,1.4262880902026325
2013-01-01,1.59,1.47420168236975,0.0048257345,1.4790274169031195
2014-01-01,1.687,1.5254420188437,0.005757716,1.5311997348624065
2015-01-01,1.732,1.5766823553176499,0.008786935,1.5854692906768895
2016-01-01,1.799,1.6279226917915999,0.012586097,1.6405087890245973
2017-01-01,1.818,1.6791630282655499,0.013452257,1.692615285295262
2018-01-01,1.922,1.7304033647394998,0.015401846,1.7458052105373962
2019-01-01,1.922,1.7816437012134498,0.01539475,1.7970384512646502
2020-01-01,1.769,1.8328840376873998,0.015702063,1.848586100905159
