year,raw,predicted,fit_resid,Hybrib_pred
1961-01-01,0.625608792,0.6279976817859751,-0.0055246046,0.6224730772046787
1962-01-01,0.62961286,0.6379891649254319,-0.0055278903,0.6324612746380922
1963-01-01,0.627843723,0.6263254785774,-0.004667732,0.6216577466441042
1964-01-01,0.622689059,0.6213695894629757,-0.00506191,0.6163076794409256
1965-01-01,0.613170693,0.6102265075697046,-0.0055246046,0.6047019029884082
1966-01-01,0.619165712,0.6173058179341334,-0.005449525,0.6118562928535122
1967-01-01,0.64309151,0.6426958512562931,-0.0042988043,0.6383970469284476
1968-01-01,0.652199732,0.6561849178047042,-0.004265811,0.6519191069760483
1969-01-01,0.653963249,0.6666937099528447,-0.004287525,0.6624061848727003
1970-01-01,0.6741428,0.6942012487887784,-0.00482601,0.6893752385839268
1971-01-01,0.676839398,0.6763487459572971,-0.005765905,0.670582840819192
1972-01-01,0.64560355,0.6582315867834925,-0.006879196,0.6513523907468854
1973-01-01,0.670913331,0.670366026421839,-0.0077430555,0.6626229709552764
1974-01-01,0.644238302,0.6540025827983061,-0.007399586,0.6466029967689554
1975-01-01,0.680679094,0.6728735698186885,-0.0057145986,0.6671589712412189
1976-01-01,0.67378935,0.672420329238016,-0.0063662026,0.6660541266302651
1977-01-01,0.680749127,0.6773468843859822,-0.0050424426,0.6723044417997093
1978-01-01,0.683978318,0.6847819981319974,-0.0051303343,0.6796516638403902
1979-01-01,0.665737672,0.6709069169985515,-0.0035998197,0.6673070972713095
1980-01-01,0.659841702,0.6629081719744778,-0.0044173454,0.6584908265810288
1981-01-01,0.685220508,0.6915464160147535,-0.0046472824,0.6868991335968899
1982-01-01,0.676729418,0.6964090645799936,-0.0054071476,0.6910019170048238
1983-01-01,0.711043468,0.7038332234109348,-0.006059714,0.6977735092836028
1984-01-01,0.72669979,0.734359203094704,-0.0062015494,0.7281576536615323
1985-01-01,0.717740149,0.7239605950635485,-0.006679754,0.7172808412906341
1986-01-01,0.725938851,0.7351638271497929,-0.0067744046,0.728389422597959
1987-01-01,0.721433743,0.7210923728166212,-0.004858904,0.7162334687640954
1988-01-01,0.75345999,0.7500161779074026,-0.00639713,0.7436190479395939
1989-01-01,0.786505978,0.7845624913183497,-0.0060297414,0.7785327499454365
1990-01-01,0.783105005,0.790992960947274,-0.0055602957,0.7854326652909506
1991-01-01,0.790689369,0.8001140219004411,-0.004459051,0.7956549709507782
1992-01-01,0.809631084,0.8187781690999366,-0.0046416423,0.8141365267715849
1993-01-01,0.802391436,0.8213320392352909,-0.0055953693,0.8157366699708074
1994-01-01,0.822717369,0.8469059479164963,-0.0069242087,0.839981739197213
1995-01-01,0.825573531,0.8284236004783888,-0.0075213537,0.8209022468163748
1996-01-01,0.840754162,0.8528296312295173,-0.008079409,0.8447502225615356
1997-01-01,0.852167437,0.8597446184004393,-0.008815896,0.8509287226344194
1998-01-01,0.860924889,0.8744137672026128,-0.008171215,0.8662425524805158
1999-01-01,0.881595165,0.8838309090316849,-0.006422616,0.8774082929559606
2000-01-01,0.857980647,0.8651506088217448,-0.007185077,0.8579655319926988
2001-01-01,0.854728181,0.8564707224267606,-0.006744471,0.8497262515137974
2002-01-01,0.820019558,0.8258054902605576,-0.00669901,0.8191064804620904
2003-01-01,0.85862877,0.857254431526939,-0.0056537134,0.8516007181627849
2004-01-01,0.876467164,0.8800123020414065,-0.005863532,0.8741487700830947
2005-01-01,0.888583775,0.901809622884981,-0.005338488,0.8964711347383183
2006-01-01,0.920275257,0.9419415314056296,-0.005602217,0.9363393145919163
2007-01-01,0.978697087,0.9777816347429941,-0.005665095,0.9721165396856556
2008-01-01,0.985990476,1.0049755041009445,-0.0069184727,0.9980570313973982
2009-01-01,1.022365824,1.034782410402479,-0.007979018,1.0268033927201055
2010-01-01,1.069518855,1.0885897268202185,-0.007968086,1.0806216410022258
2011-01-01,1.091698269,1.1058075200819883,-0.0067662597,1.0990412604117308
2012-01-01,1.114692145,1.1304417702870004,-0.008655416,1.121786354439103
2013-01-01,1.117995369,1.1346680073228326,-0.008250121,1.1264178862956014
2014-01-01,1.169753329,1.1848218736366685,-0.008693962,1.1761279112787302
2015-01-01,1.158076805,1.1831595809656295,-0.008289925,1.1748696561428817
